Superseded Species,,,,Superseded_by taxonomy,,,
observable_item_id,observable_item_name,aphia_id,superseded_by,phylum,class,order,family
972,Gymnothorax annasoma,271817,Gymnothorax annasona,Chordata,Actinopterygii,Anguilliformes,Muraenidae
4781,Siderea grisea,217532,Gymnothorax griseus,Chordata,Actinopterygii,Anguilliformes,Muraenidae
1152,Siderea thyrsoidea,311404,Gymnothorax thrysoideus,Chordata,Actinopterygii,Anguilliformes,Muraenidae
4151,Haemulon plumieri,308599,Haemulon plumierii,Chordata,Actinopterygii,Perciformes,Haemulidae
4097,Haemulon scudderi,401815,Haemulon scudderii,Chordata,Actinopterygii,Perciformes,Haemulidae
4753,Halichoeres chrysotaenia,308608,Halichoeres melanurus,Chordata,Actinopterygii,Perciformes,Labridae
4020,Heniochus singularis,402151,Heniochus singularius,Chordata,Actinopterygii,Perciformes,Chaetodontidae
4008,Taenioconger klausewitzi,321779,Heteroconger klausewitzi,Chordata,Actinopterygii,Anguilliformes,Congridae
4138,Nystactichthys halis,308124,Heteroconger longissimus,Chordata,Actinopterygii,Anguilliformes,Congridae
4012,Priacanthus cruentatus,218362,Heteropriacanthus cruentatus,Chordata,Actinopterygii,Perciformes,Priacanthidae
4763,Holocentrus ascensionis,309120,Holocentrus adscensionis,Chordata,Actinopterygii,Beryciformes,Holocentridae
4145,Xyrichthys pavo,322459,Iniistius pavo,Chordata,Actinopterygii,Perciformes,Labridae
4760,Amblygobius hectori,219375,Koumansetta hectori,Chordata,Actinopterygii,Perciformes,Gobiidae
2999,Kuhlia taeniura,218356,Kuhlia mugil,Chordata,Actinopterygii,Perciformes,Kuhliidae
4774,Labracoglossa argentiventris,314725,Labracoglossa argenteiventris,Chordata,Actinopterygii,Perciformes,Kyphosidae
4752,Lethrinus nematacanthus,312251,Lethrinus genivittatus,Chordata,Actinopterygii,Perciformes,Lethrinidae
1025,Lotella rhacinus,400572,Lotella rhacina,Chordata,Actinopterygii,Gadiformes,Moridae
4150,Lutjanus ehrenbergi,401724,Lutjanus ehrenbergii,Chordata,Actinopterygii,Perciformes,Lutjanidae
4021,Manta hamiltoni,298796,Manta birostris,Chordata,Elasmobranchii,Myliobatiformes,Mobulidae
1222,Parika scaber,320098,Meuschenia scaber,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae
4146,Micrognathus ensenadae,311713,Micrognathus crinitus,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae
4009,Cheilodactylus macropterus,311546,Nemadactylus macropterus,Chordata,Actinopterygii,Perciformes,Cheilodactylidae
4796,Neoditrema ransonneti,402252,Neoditrema ransonnetii,Chordata,Actinopterygii,Perciformes,Embiotocidae
3010,Synchiropus morrisoni,273251,Neosynchiropus morrisoni,Chordata,Actinopterygii,Perciformes,Callionymidae
3011,Synchiropus ocellatus,273254,Neosynchiropus ocellatus,Chordata,Actinopterygii,Perciformes,Callionymidae
904,Cirrhitus splendens,313094,Notocirrhitus splendens,Chordata,Actinopterygii,Perciformes,Cirrhitidae
1058,Novaculichthys macrolepidonotus,593553,Novaculoides macrolepidotus,Chordata,Actinopterygii,Perciformes,Labridae
5206,Octopus gibbsi,341976,Octopus tetricus,Mollusca,Cephalopoda,Octopoda,Octopodidae
4130,Ostorhinchus apogonides,319875,Ostorhinchus apogonoides,Chordata,Actinopterygii,Perciformes,Apogonidae
3113,Apogon moluccensis,273047,Ostorhinchus monospilus,Chordata,Actinopterygii,Perciformes,Apogonidae
5081,Ogilbyina velifera,281870,Oxycercichthys veliferus,Chordata,Actinopterygii,Perciformes,Pseudochromidae
3007,Cheilinus celebicus,310704,Oxycheilinus celebicus,Chordata,Actinopterygii,Perciformes,Labridae
4754,Cheilinus unifasciatus,310716,Oxycheilinus unifasciatus,Chordata,Actinopterygii,Perciformes,Labridae
3128,Cheilinus digramma,402419,Oxycheilinus digramma,Chordata,Actinopterygii,Eupercaria incertae sedis,Labridae
3127,Cheilinus diagramma,402417,Oxycheilinus digramma,Chordata,Actinopterygii,Eupercaria incertae sedis,Labridae
3126,Cheilinus digrammus,310707,Oxycheilinus digramma,Chordata,Actinopterygii,Eupercaria incertae sedis,Labridae
